ms,ca,cb,caper,cbper,q,qdes,dq,dqdes,pa,pb,Ta,Tb,pid_u
0,2.858283591800401,3.141716408199599,57.165671836008016,62.834328163991984,0.0,-18.895402115200596,0.0,0.0,362.36630036630044,361.2728937728938,2.614521090765081,2.6727349466922545,-2.834328163991985
33,2.7107042162978896,3.2892957837021104,54.214084325957785,65.78591567404222,-0.087890625,-18.895402115200596,-2.635554678333734,0.0,362.00183150183153,368.7445054945055,2.6142961936416373,2.6838630903754255,-2.9515875100502336
66,2.5821133416445137,3.4178866583554863,51.64226683289028,68.35773316710973,-1.318359375,-18.895402115200596,-36.83464258864222,0.0,350.52106227106225,383.68772893772893,2.616529194834751,2.6838630903754255,-2.5718174930675053
100,2.5003542388856967,3.4996457611143033,50.00708477771393,69.99291522228607,-4.482421875,-18.895402115200596,-95.0339066728176,0.0,337.2179487179487,392.98168498168496,2.6210395855412334,2.7036239765798302,-1.6351820551763545
133,2.415379900769029,3.584620099230971,48.30759801538058,71.69240198461942,-6.6796875,-18.895402115200596,-65.83676897111627,0.0,325.55494505494505,405.9203296703297,2.6210395855412334,2.6744480437709677,-1.699486762333349
166,2.3245897520408563,3.6754102479591437,46.491795040817124,73.50820495918288,-8.0859375,-18.895402115200596,-42.13130063796945,0.0,310.97619047619054,418.67673992673986,2.6179954365847906,2.6833528502879727,-1.8158029745634563
200,2.2706549204743247,3.7293450795256753,45.413098409486494,74.5869015905135,-10.810546875,-18.895402115200596,-81.71231470773937,0.0,300.22435897435895,426.3305860805861,2.6014888999519,2.6833528502879727,-1.0786966313306328
233,2.2188411747189876,3.7811588252810124,44.37682349437975,75.62317650562025,-12.83203125,-18.895402115200596,-60.681916774160854,0.0,289.1080586080587,436.9001831501831,2.5997505879328067,2.663982583501519,-1.0362749151067419
266,2.1684141144973212,3.8315858855026788,43.36828228994642,76.63171771005358,-14.326171875,-18.895402115200596,-44.848784670248456,0.0,276.16941391941384,445.1007326007325,2.5997505879328067,2.655721952588097,-1.0085412044333235
300,2.147999765602106,3.852000234397894,42.959995312042125,77.04000468795788,-16.69921875,-18.895402115200596,-71.1107332559492,0.0,265.4175824175824,454.94139194139194,2.56717365695903,2.640925944789522,-0.4082869779043009
333,2.133533150065689,3.866466849934311,42.67066300131378,77.32933699868622,-18.544921875,-18.895402115200596,-55.611457593956146,0.0,258.1282051282051,466.4221611721611,2.5612718087676303,2.640925944789522,-0.2893323107283493
366,2.113255449862156,3.886744550137844,42.26510899724312,77.73489100275688,-19.51171875,-18.895402115200596,-28.9731935054797,0.0,254.301282051282,469.70238095238085,2.5383362218970325,2.622975004363819,-0.4055540040706547
