ms,ca,cb,caper,cbper,q,qdes,dq,dqdes,pa,pb,Ta,Tb,pid_u
0,2.999999710106227,3.000000289893773,59.99999420212453,60.00000579787547,0.0,-1.1969333974278446e-09,0.0,-0.0005797695922118415,361.6373626373627,361.2728937728938,2.602204560720453,2.659839120579101,-5.797875463363563e-06
33,2.9970293875335323,3.0029706124664677,59.94058775067065,60.05941224932935,0.0,-0.07855021926672404,0.0,-4.696714289955956,360.90842490842493,361.0906593406594,2.6021882826879614,2.659839120579101,-0.05940645145387863
66,2.9898409592765525,3.0101590407234475,59.79681918553105,60.20318081446895,0.0,-0.3123675104723263,0.0,-9.36598309032932,362.36630036630044,360.72619047619054,2.602087762081825,2.6604083526232887,-0.14376856513960443
100,2.977095436205924,3.022904563794076,59.54190872411848,60.45809127588152,0.0,-0.702394951908408,0.0,-14.044656829589599,362.54853479853483,362.7307692307692,2.6024197592429172,2.660020334083029,-0.25491046141256946
133,2.9573623972088665,3.0426376027911335,59.14724794417733,60.85275205582267,0.0,-1.2510242103366394,0.0,-18.74361255168802,361.6373626373627,362.184065934066,2.6024197592429172,2.6605321999179314,-0.3946607799411448
166,2.9332873494556293,3.0667126505443707,58.665746989112584,61.334253010887416,-0.17578125,-1.950216806492625,-5.2978914015335175,-23.40248031305942,361.8195970695971,364.5531135531136,2.60279838493654,2.6605321999179314,-0.4815009550647469
200,2.902666100062113,3.097333899937887,58.053322001242265,61.946677998757735,-0.439453125,-2.812577315187376,-7.874251866675255,-28.104293743420165,362.91300366300374,367.1043956043956,2.6055291912052065,2.666552967168718,-0.6124249878703185
233,2.8617304508657138,3.1382695491342862,57.234609017314284,62.765390982685716,-0.615234375,-3.821945749817032,-5.270809210456011,-30.952250922049515,361.4551282051283,370.93131868131866,2.610853745514966,2.671123136076709,-0.8187129839279801
266,2.8237256961048054,3.1762743038951946,56.47451392209611,63.52548607790389,-1.142578125,-4.773955318814068,-15.851517957204639,-26.280993155981818,353.801282051282,374.75824175824175,2.610853745514966,2.679293318537228,-0.7600950952181724
300,2.8045917146923447,3.1954082853076553,56.0918342938469,63.9081657061531,-2.548828125,-5.570289126599133,-42.286813115790956,-21.611513734817436,346.69413919413915,378.03846153846155,2.6056002955500106,2.679293318537228,-0.38267962824920476
333,2.792546945372344,3.2074530546276554,55.85093890744688,64.14906109255311,-3.955078125,-6.2124259854933515,-42.205377359910926,-16.933024499974906,341.04487179487177,383.50549450549454,2.6056655367044352,2.669263841981282,-0.24089538640001812
366,2.7669956438776753,3.2330043561223247,55.3399128775535,64.6600871224465,-4.39453125,-6.699988088625281,-13.147012317367444,-12.239529343427883,335.57783882783883,384.96336996337,2.600716751587233,2.6580617607227484,-0.511026029893378
400,2.7417121100338204,3.2582878899661796,54.834242200676414,65.16575779932359,-4.74609375,-7.029223852474906,-10.577941568209694,-7.572803724895529,333.0265567765568,388.6080586080586,2.600716751587233,2.6589561911017157,-0.5056706768770888
