ms,ca,cb,caper,cbper,q,qdes,dq,dqdes,pa,pb,Ta,Tb,pid_u
0,2.999999928577154,3.000000071422846,59.99999857154309,60.00000142845691,0.0,-3.227488971074126e-10,0.0,-0.00014284084978543853,362.54853479853483,361.0906593406594,2.5884404335061326,2.6271703410069382,-1.428456910553577e-06
33,2.999330499146739,3.000669500853261,59.98660998293479,60.01339001706521,0.0,-0.017716146173226418,0.0,-1.0582899435619553,360.72619047619054,359.8150183150184,2.5887268918032884,2.628032702029736,-0.013388588608299048
66,2.997711722844496,3.002288277155504,59.95423445688993,60.04576554311007,0.0,-0.07035439036454993,0.0,-2.1089468943478793,360.17948717948724,359.4505494505495,2.588027263636698,2.6275875594585427,-0.03237552604486165
100,2.99484210517778,3.00515789482222,59.8968421035556,60.1031578964444,0.0,-0.1581513063010047,0.0,-3.161960450489205,360.72619047619054,360.72619047619054,2.587832964945999,2.6274741183552712,-0.057392353334330806
133,2.9904033617575743,3.0095966382424257,59.80806723515148,60.19193276484852,0.0,-0.2813494508122029,0.0,-4.217383335734157,359.9972527472528,360.72619047619054,2.587832964945999,2.6274741183552712,-0.08877486840411872
166,2.9840661527135075,3.0159338472864925,59.68132305427015,60.31867694572985,0.0,-0.4396967766599552,0.0,-5.272258343026803,358.17490842490844,359.9972527472528,2.588426975952436,2.628535507167614,-0.12674418088132988
200,2.9754957154584223,3.0245042845415777,59.509914309168444,60.490085690831556,0.0,-0.6323901163524418,0.0,-6.322845627673269,360.36172161172163,361.4551282051283,2.588027263636698,2.6283777943211333,-0.17140874510171017
233,2.9663306147118895,3.0336693852881105,59.32661229423779,60.67338770576221,-0.087890625,-0.8613679759059796,-2.629706217625659,-7.3792870165434055,360.17948717948724,363.09523809523813,2.5895373644411745,2.6306205926102217,-0.183302014930654
266,2.9549455114819807,3.0450544885180193,59.098910229639614,60.901089770360386,-0.17578125,-1.1238911415782262,-2.6462629471558183,-8.429118626004135,359.8150183150184,364.5531135531136,2.5914114532750063,2.6306205926102217,-0.2277020645981761
300,2.9409426134272314,3.0590573865727686,58.818852268544624,61.181147731455376,-0.263671875,-1.4239680449626735,-2.6238908624708333,-9.487901416326752,359.9972527472528,365.82875457875457,2.5914114532750063,2.63447643759828,-0.28005796109499065
333,2.924568069084833,3.075431930915167,58.49136138169665,61.50863861830335,-0.3515625,-1.743352236732577,-2.6463854136928777,-9.625696845442446,360.90842490842493,367.1043956043956,2.593652844710455,2.6359413429473304,-0.3274908868479776
366,2.907762630912728,3.092237369087272,58.15525261825455,61.84474738174545,-0.52734375,-2.0650920489813487,-5.258960685613416,-9.625696845442446,360.5439560439561,369.2912087912088,2.596738459426667,2.640722301374384,-0.3361087634421009
400,2.8911862044928176,3.1088137955071824,57.82372408985635,62.17627591014365,-0.791015625,-2.386089604496209,-7.906681816777566,-9.625696845442446,358.53937728937734,371.1135531135531,2.6001013911201145,2.640722301374384,-0.3315285283982002
