ms,valve_a_pct,valve_b_pct,q_des,pid_u,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg
0,0.0,0.0,,,2799,3.418,363.8,2784,3.399,361.1,,,1.846
33,0.0,0.0,,,2677,3.269,341.6,2655,3.242,337.6,,,1.846
66,0.0,0.0,,,2553,3.117,319.0,2530,3.089,314.8,,,1.846
100,0.0,0.0,,,2457,3.000,301.5,2431,2.968,296.8,,,1.846
133,0.0,0.0,,,2380,2.906,287.5,2350,2.869,282.0,,,1.934
166,0.0,0.0,,,2299,2.807,272.7,2261,2.761,265.8,,,2.021
200,0.0,0.0,,,2226,2.718,259.4,2181,2.663,251.2,2.19843,2.24766,2.021
233,0.0,0.0,,,2160,2.637,247.4,2117,2.585,239.5,2.19843,2.24766,2.021
266,0.0,0.0,,,2079,2.538,232.6,2047,2.499,226.8,2.19843,2.24766,2.021
300,0.0,0.0,,,2024,2.471,222.6,1994,2.435,217.1,2.19843,2.24766,2.021
333,0.0,0.0,,,1975,2.411,213.7,1940,2.369,207.3,2.19843,2.24766,2.021
366,0.0,0.0,,,1921,2.346,203.8,1895,2.314,199.1,2.19843,2.24766,2.109
400,0.0,0.0,,,1873,2.287,195.1,1848,2.256,190.5,2.17955,2.24692,2.285
433,0.0,0.0,,,1830,2.234,187.2,1801,2.199,182.0,2.17955,2.24692,2.812
466,0.0,0.0,,,1792,2.188,180.3,1767,2.158,175.8,2.17955,2.24692,3.604
500,0.0,0.0,,,1752,2.139,173.0,1723,2.104,167.7,2.17955,2.24692,4.395
533,0.0,0.0,,,1718,2.098,166.8,1685,2.057,160.8,2.17955,2.24692,5.449
566,0.0,0.0,,,1681,2.053,160.1,1649,2.013,154.3,2.17955,2.24692,6.240
600,0.0,0.0,,,1642,2.005,153.0,1611,1.967,147.3,2.17955,2.24692,7.383
633,0.0,0.0,,,1601,1.955,145.5,1576,1.924,141.0,2.17919,2.24733,8.525
666,0.0,0.0,,,1571,1.918,140.0,1542,1.883,134.8,2.17919,2.24733,9.756
700,0.0,0.0,,,1533,1.872,133.1,1501,1.833,127.3,2.17919,2.24733,10.986
