ms,ca,cb,caper,cbper,q,qdes,dq,dqdes,pa,pb,Ta,Tb,pid_u
0,2.9999999926094874,3.0000000073905126,59.99999985218975,60.00000014781025,0.0,-2.24444696192828e-11,0.0,-1.478068823679966e-05,361.6373626373627,361.8195970695971,2.599984734050844,2.6596784345189715,-1.4781024905548045e-07
33,2.9998974445409328,3.0001025554590672,59.997948890818655,60.002051109181345,0.0,-0.0027050463868102787,0.0,-0.16226592939093723,361.6373626373627,360.72619047619054,2.599527736448858,2.6596784345189715,-0.002050961371096703
66,2.9996479318347467,3.0003520681652533,59.99295863669494,60.00704136330506,0.0,-0.010849166151536992,0.0,-0.3249661785134541,362.00183150183153,362.00183150183153,2.5996316732105287,2.660036862620553,-0.0049902541237167065
100,2.9992058900213348,3.0007941099786652,59.984117800426695,60.015882199573305,0.0,-0.02436553320242907,0.0,-0.48699885818214206,362.54853479853483,361.4551282051283,2.5996316732105287,2.65967754923666,-0.008840836268241392
133,2.9985221359203655,3.0014778640796345,59.97044271840731,60.02955728159269,0.0,-0.04334478237294304,0.0,-0.649543732384981,364.735347985348,361.0906593406594,2.600033506589298,2.6599546641836156,-0.013675082019381725
166,2.997546208702516,3.002453791297484,59.950924174050314,60.049075825949686,0.0,-0.06771558477312913,0.0,-0.8118658985194757,361.8195970695971,361.8195970695971,2.599530587854359,2.6597440941891035,-0.019518544356995973
200,2.9962256151135325,3.0037743848864675,59.92451230227065,60.07548769772935,0.0,-0.09745497308929278,0.0,-0.9739619400108537,361.2728937728938,361.2728937728938,2.5995579615858735,2.6597440941891035,-0.026411871779667244
233,2.9945061640618,3.0054938359382,59.89012328123601,60.10987671876399,0.0,-0.13251250426845373,0.0,-1.1357125211498946,362.184065934066,361.6373626373627,2.5998732183736553,2.659946400278658,-0.03438902103463967
266,2.992328598603568,3.007671401396432,59.84657197207137,60.15342802792863,0.0,-0.17313267891949244,0.0,-1.2981638394624069,361.8195970695971,362.184065934066,2.5998732183736553,2.659937988843519,-0.04355130916464276
300,2.989634262078836,3.010365737921164,59.79268524157673,60.20731475842327,0.0,-0.21906862468495855,0.0,-1.4602596132808405,361.4551282051283,362.184065934066,2.59948710443023,2.65973568371356,-0.05388673049463943
333,2.98636134761542,3.01363865238458,59.7272269523084,60.2727730476916,0.0,-0.27039848343204326,0.0,-1.622340869232653,362.36630036630044,364.0064102564103,2.5997048176314204,2.65973568371356,-0.06545828926832545
366,2.9824422270251922,3.0175577729748078,59.648844540503845,60.351155459496155,0.0,-0.327431136773529,0.0,-1.7852538201509094,361.2728937728938,362.00183150183153,2.5995660882456515,2.6609988822416533,-0.07838241180455559
400,2.977814602564274,3.022185397435726,59.55629205128548,60.44370794871452,0.0,-0.38951019893837885,0.0,-1.9471499597054198,361.2728937728938,362.91300366300374,2.5995660882456515,2.6608500502482184,-0.09255248921836166
433,2.974424224954596,3.025575775045404,59.48848449909192,60.51151550090808,-0.087890625,-0.4570612746341193,-2.6388858824498604,-2.109245816244319,361.8195970695971,364.18864468864473,2.599981739290572,2.662226040719159,-0.06780755219356324
466,2.9709190466237607,3.0290809533762393,59.418380932475216,60.581619067524784,-0.17578125,-0.5299524366244203,-2.640934182326228,-2.2712159517693697,361.4551282051283,365.6465201465202,2.6013610172185806,2.662226040719159,-0.0701035666166996
500,2.9652405535161295,3.0347594464838705,59.30481107032259,60.69518892967741,-0.17578125,-0.60866937474906,0.0,-2.4340567999392455,360.90842490842493,364.735347985348,2.6018267783855076,2.6645077252840346,-0.11356986215262312
533,2.960650133025996,3.039349866974004,59.21300266051992,60.78699733948008,-0.263671875,-0.6925419682376044,-2.6356970217103544,-2.596348772006104,360.36172161172163,366.37545787545787,2.6018267783855076,2.6646568642698143,-0.09180840980267345
566,2.955798677758838,3.044201322241162,59.115973555176765,60.884026444823235,-0.3515625,-0.7814321125361133,-2.6470439154269787,-2.757945058690724,361.4551282051283,365.4642857142857,2.602866377779568,2.6658114874500156,-0.09702910534315277
600,2.9486134521413576,3.0513865478586424,58.97226904282715,61.02773095717285,-0.3515625,-0.8761424845920722,0.0,-2.9202992245078097,360.72619047619054,366.7399267399268,2.6036617776210216,2.6658114874500156,-0.14370451234961268
633,2.942348302176025,3.057651697823975,58.846966043520496,61.153033956479504,-0.439453125,-0.9762889831123213,-2.634171242874156,-3.082685200203678,360.90842490842493,367.83333333333337,2.604220647191668,2.6680690240373406,-0.12530299930665478
666,2.9356375776334613,3.0643624223665387,58.712751552669225,61.287248447330775,-0.52734375,-1.0818778620247718,-2.6335806806309967,-3.2451075898308797,360.5439560439561,366.7399267399268,2.604220647191668,2.6685710553142843,-0.13421449085127307
700,2.928435040384754,3.071564959615246,58.56870080769509,61.43129919230491,-0.615234375,-1.1927187958193668,-2.6374882638240793,-3.4072893417996726,360.5439560439561,369.2912087912088,2.6060175378333197,2.670056182987093,-0.14405074497413942
733,2.9206884872647567,3.0793115127352433,58.413769745295134,61.586230254704866,-0.703125,-1.3088681651838792,-2.639619692082589,-3.569340135975493,362.00183150183153,370.20238095238096,2.60687737860253,2.670056182987093,-0.1549310623999555
766,2.9164189543178223,3.0835810456821777,58.32837908635645,61.67162091364355,-0.966796875,-1.4297483475128794,-7.918009172948902,-3.6501543886858103,357.44597069597074,370.38461538461536,2.604484993704663,2.6727973744423608,-0.08539065893868308
800,2.919091057603138,3.080908942396862,58.38182115206276,61.61817884793724,-1.494140625,-1.551806725197896,-15.770208812506818,-3.6501543886858103,354.8946886446886,370.56684981684987,2.604484993704663,2.6699482910984926,0.05344206570631688
833,2.9189387460795535,3.0810612539204465,58.37877492159107,61.62122507840893,-1.7578125,-1.6733423204921478,-7.919021990011066,-3.6501543886858103,353.43681318681314,370.56684981684987,2.6041740440296404,2.6648097151307333,-0.0030462304716978375
866,2.913898347685826,3.086101652314174,58.27796695371652,61.72203304628348,-1.7578125,-1.795080838799667,0.0,-3.6501543886858103,350.88553113553104,370.74908424908426,2.6012900863307817,2.6648097151307333,-0.1008079678745421
900,2.9098992723159984,3.0901007276840016,58.19798544631997,61.80201455368003,-1.845703125,-1.916441091601202,-2.6434878237500765,-3.6501543886858103,352.34340659340654,373.48260073260076,2.6006782316590256,2.6653109747405814,-0.07998150739655305
933,2.9055942756420943,3.0944057243579057,58.11188551284189,61.88811448715811,-1.93359375,-2.0384078102742538,-2.6303433761145523,-3.6501543886858103,351.6144688644688,373.66483516483515,2.6006782316590256,2.6644207333244374,-0.08609993347808209
966,2.900984995482146,3.099015004517854,58.019699909642924,61.980300090357076,-2.021484375,-2.159890682718436,-2.6408195996146975,-3.6501543886858103,350.70329670329664,373.8470695970696,2.6013905607177947,2.6645660181986073,-0.09218560319896643
1000,2.8960445762288383,3.1039554237711617,57.920891524576774,62.079108475423226,-2.109375,-2.281768713570454,-2.6322574160852352,-3.6501543886858103,350.52106227106225,372.38919413919416,2.6008792580381197,2.6645660181986073,-0.09880838506614614
1033,2.890764221799632,3.109235778200368,57.81528443599263,62.18471556400737,-2.197265625,-2.40358969983531,-2.633490011898212,-3.6501543886858103,349.9743589743589,374.94047619047615,2.6007735343753087,2.665277523430648,-0.10560708858414156
1066,2.885133404125629,3.114866595874371,57.70266808251258,62.29733191748742,-2.28515625,-2.525193834045869,-2.638186215055774,-3.6501543886858103,348.69871794871796,374.75824175824175,2.6007735343753087,2.6645827370778643,-0.11261635348004792
1100,2.8811636122949853,3.1188363877050147,57.623272245899706,62.376727754100294,-2.4609375,-2.6463691481521465,-5.295044670347907,-3.6501543886858103,349.4276556776556,375.30494505494505,2.6015731135974316,2.6646197263079547,-0.07939583661287818
1133,2.8755144577980594,3.1244855422019406,57.51028915596119,62.48971084403881,-2.548828125,-2.7683234307363014,-2.630611601086743,-3.6501543886858103,347.9697802197802,374.75824175824175,2.6006672465029963,2.6646197263079547,-0.11298308993851396
1166,2.871515644886708,3.128484355113292,57.43031289773417,62.56968710226583,-2.724609375,-2.890260338570123,-5.261972872156173,-3.6501543886858103,346.8763736263736,375.85164835164835,2.600446987414632,2.6648597311432365,-0.07997625822701894
1200,2.865869071533192,3.134130928466808,57.317381430663836,62.682618569336164,-2.8125,-3.0118641370032275,-2.6381934997250283,-3.6501543886858103,346.51190476190476,376.2161172161172,2.600446987414632,2.664363184862702,-0.11293146707032932
1233,2.8598690655809667,3.1401309344190333,57.19738131161934,62.80261868838066,-2.900390625,-3.1336481471669098,-2.634289593000779,-3.6501543886858103,345.96520146520146,378.58516483516485,2.6008467269937174,2.6644623054811167,-0.1200001190444976
1266,2.855530176306214,3.144469823693786,57.11060352612429,62.88939647387571,-3.076171875,-3.254977373685475,-5.2883276317433605,-3.6501543886858103,345.96520146520146,377.8562271062271,2.60000384359538,2.664255785779597,-0.08677778549505087
1300,2.849522640366226,3.150477359633774,56.99045280732453,63.00954719267547,-3.1640625,-3.376695681074476,-2.6357115659092547,-3.6501543886858103,344.14285714285717,379.6785714285715,2.6000444877302136,2.664255785779597,-0.12015071879975976
1333,2.843126603872641,3.156873396127359,56.86253207745282,63.13746792254718,-3.251953125,-3.500062496759769,-2.60049145944143,-3.6501543886858103,347.9697802197802,380.58974358974365,2.600031224802512,2.664317768755521,-0.1279207298717115
1366,2.8384324323472674,3.1615675676527326,56.76864864694535,63.23135135305465,-3.427734375,-3.6204089593447804,-5.331512762021886,-3.6501543886858103,343.77838827838826,380.9542124542125,2.600031224802512,2.6643094845094075,-0.09388343050746835
1400,2.832050385910082,3.167949614089918,56.641007718201635,63.358992281798365,-3.515625,-3.741710740338983,-2.644762079655051,-3.6501543886858103,342.3205128205128,380.58974358974365,2.598992468183428,2.6638335011199046,-0.12764092874371316
1433,2.827313812124383,3.172686187875617,56.54627624248766,63.45372375751234,-3.69140625,-3.863482989713407,-5.269088026478878,-3.6501543886858103,341.59157509157507,380.2252747252748,2.59913927631153,2.6638335011199046,-0.09473147571398066
1466,2.8229472961430666,3.1770527038569334,56.45894592286133,63.54105407713867,-3.8671875,-3.984781664440816,-5.289659615639582,-3.6501543886858103,339.7692307692308,380.77197802197804,2.599084685040326,2.664611440653474,-0.08733031962632423
1500,2.8169298416235256,3.1830701583764744,56.338596832470515,63.661403167529485,-3.955078125,-4.106871269190069,-2.6276958732643583,-3.6501543886858103,339.5869963369963,380.4075091575092,2.599084685040326,2.6641520911741354,-0.12034909039081983
1533,2.8105935223328924,3.1894064776671076,56.21187044665785,63.78812955334215,-4.04296875,-4.22816690332953,-2.6448961073011774,-3.6501543886858103,339.040293040293,382.7765567765568,2.59873708019037,2.6638919198080293,-0.12672638581266807
1566,2.8059200305008165,3.1940799694991835,56.11840061001633,63.88159938998367,-4.21875,-4.349926778681965,-5.269623505107738,-3.6501543886858103,337.5824175824176,381.5009157509158,2.598783537481651,2.6638919198080293,-0.09346983664152042
1600,2.8016251415221607,3.1983748584778393,56.032502830443214,63.967497169556786,-4.39453125,-4.471498605380735,-5.277774617354399,-3.6501543886858103,338.6758241758242,385.32783882783883,2.5987776946249985,2.6649301702824784,-0.08589777957311692
1633,2.7957027565297876,3.204297243470212,55.91405513059575,64.08594486940424,-4.482421875,-4.5935612428156105,-2.6282764104556833,-3.6501543886858103,339.2225274725275,387.1501831501832,2.5987776946249985,2.6638660378736643,-0.11844769984746305
1666,2.7894786973489083,3.2105213026510917,55.789573946978166,64.21042605302183,-4.5703125,-4.714826117079098,-2.645567007895594,-3.6501543886858103,335.9423076923077,385.14560439560444,2.598935601192723,2.663791943678637,-0.12448118361758181
1700,2.7849332122168082,3.215066787783192,55.698664244336165,64.30133575566384,-4.74609375,-4.836615533145595,-5.268345328019689,-3.6501543886858103,335.57783882783883,385.69230769230774,2.5980687176311896,2.663791943678637,-0.09090970264200193
1733,2.7807820112837103,3.2192179887162897,55.6156402256742,64.3843597743258,-4.921875,-4.958250697357296,-5.275026389732601,-3.6501543886858103,335.7600732600732,386.0567765567766,2.5978598983065093,2.664843009656923,-0.08302401866196256
1766,2.775022080726427,3.224977919273573,55.50044161452854,64.49955838547146,-5.009765625,-5.08029089360809,-2.6287597072427595,-3.6501543886858103,333.39102564102564,386.6034798534799,2.5978598983065093,2.6637057261816484,-0.11519861114566121
1800,2.7689720152808555,3.2310279847191454,55.3794403056171,64.6205596943829,-5.09765625,-5.2018212144103355,-2.6397885601743902,-3.6501543886858103,334.8489010989011,388.4258241758242,2.5979984911331435,2.6636641717303857,-0.12100130891143952
1833,2.762608503008839,3.237391496991161,55.25217006017679,64.74782993982322,-5.185546875,-5.323548983032248,-2.6355067064815785,-3.6501543886858103,332.6620879120879,385.5100732600733,2.597632020544386,2.6636641717303857,-0.12727024544031681
1866,2.7579346887432763,3.2420653112567237,55.158693774865526,64.84130622513447,-5.361328125,-5.445225244300947,-5.273244710562391,-3.6501543886858103,333.75549450549454,388.7902930402931,2.5971430391194037,2.6650088996843415,-0.09347628531125887
1900,2.751640138599186,3.248359861400814,55.03280277198372,64.96719722801627,-5.44921875,-5.566901304814938,-2.6366267054742396,-3.6501543886858103,333.39102564102564,389.7014652014652,2.5971430391194037,2.6638048101134575,-0.1258910028818049
1933,2.747050878407095,3.252949121592905,54.9410175681419,65.0589824318581,-5.625,-5.688320095155769,-5.284426729463274,-3.6501543886858103,331.9331501831502,390.9771062271062,2.597618064005948,2.6638048101134575,-0.09178520384181904
1966,2.7408379963597578,3.2591620036402422,54.81675992719515,65.18324007280485,-5.712890625,-5.810304119208695,-2.629970219943677,-3.6501543886858103,331.2042124542124,391.70604395604397,2.5968173180004293,2.6638048101134575,-0.1242576409467485
2000,2.7363434145884407,3.2636565854115593,54.72686829176882,65.27313170823119,-5.888671875,-5.931680867067719,-5.286257149362833,-3.6501543886858103,329.74633699633694,393.1639194139194,2.596412672099011,2.664611440653474,-0.08989163542633594
2033,2.730241211760352,3.269758788239648,54.60482423520703,65.39517576479297,-5.9765625,-6.053221127233185,-2.639572682593645,-3.6501543886858103,330.65750915750914,393.89285714285717,2.596412672099011,2.663511419418322,-0.12204405656178628
2066,2.7258408755433368,3.274159124456663,54.51681751086674,65.48318248913326,-6.15234375,-6.175281191294934,-5.256663643987488,-3.6501543886858103,330.11080586080584,394.07509157509156,2.5966543380849507,2.663416048307103,-0.08800672434029427
2100,2.7198611270637256,3.2801388729362744,54.397222541274516,65.60277745872548,-6.240234375,-6.296555128920412,-2.6453692924430103,-3.6501543886858103,328.8351648351648,393.71062271062266,2.595997734309911,2.663416048307103,-0.11959496959222271
2133,2.7155967341438556,3.2844032658561444,54.31193468287711,65.68806531712289,-6.416015625,-6.4183479250173665,-5.268199119309171,-3.6501543886858103,327.37728937728934,394.9862637362637,2.595488020666091,2.6640901139795994,-0.08528785839740746
2166,2.7097505428305704,3.2902494571694296,54.195010856611404,65.8049891433886,-6.50390625,-6.5398954161501806,-2.639415652088914,-3.6501543886858103,327.37728937728934,395.71520146520146,2.595488020666091,2.6629902676984885,-0.11692382626570283
2200,2.703610066868354,3.296389933131646,54.07220133736707,65.92779866263292,-6.591796875,-6.662121835990107,-2.624754541516008,-3.6501543886858103,327.55952380952374,395.532967032967,2.5956043752225875,2.6628208708941994,-0.12280951924433296
2233,2.699205018020021,3.300794981979979,53.98410036040042,66.01589963959958,-6.767578125,-6.783389079233516,-5.291030652426818,-3.6501543886858103,327.0128205128205,396.26190476190476,2.594940064615998,2.6628208708941994,-0.0881009769666508
2266,2.693195151683887,3.306804848316113,53.86390303367774,66.13609696632226,-6.85546875,-6.90525338915588,-2.632553786850884,-3.6501543886858103,326.28388278388275,396.9908424908425,2.5945823442420215,2.6630689111502392,-0.12019732672267938
2300,2.6889138641020027,3.3110861358979973,53.77827728204005,66.22172271795995,-7.03125,-7.026907818861292,-5.274191023622327,-3.6501543886858103,324.8260073260073,397.7197802197802,2.5945823442420215,2.662213037962986,-0.08562575163768235
2333,2.6830515583250008,3.3169484416749992,53.66103116650001,66.33896883349999,-7.119140625,-7.148402448456236,-2.640564044992487,-3.6501543886858103,326.4661172161172,399.72435897435895,2.5946419117779316,2.6622380092493794,-0.11724611554004195
2366,2.678914796144078,3.321085203855922,53.57829592288155,66.42170407711845,-7.294921875,-7.270314144696313,-5.263061059150859,-3.6501543886858103,323.1858974358974,397.7197802197802,2.5934225368256505,2.661449145510221,-0.08273524361845878
2400,2.673206901142992,3.326793098857008,53.46413802285984,66.53586197714016,-7.3828125,-7.392027517088933,-2.6358184335999972,-3.6501543886858103,323.36813186813185,399.3598901098901,2.5926889102731048,2.661449145510221,-0.11415790002171015
2433,2.66723697364236,3.3327630263576395,53.3447394728472,66.65526052715279,-7.470703125,-7.513235142345495,-2.6468165669364025,-3.6501543886858103,322.27472527472526,400.45329670329664,2.5927404599162256,2.6613002757402877,-0.11939855001263834
2466,2.662988839595832,3.337011160404168,53.259776791916636,66.74022320808336,-7.646484375,-7.634980146976824,-5.270267170954378,-3.6501543886858103,321.54578754578756,400.6355311355311,2.5927404599162256,2.660875002359994,-0.08496268093056485
2500,2.6571523019492993,3.3428476980507007,53.143046038985986,66.85695396101401,-7.734375,-7.757130384455071,-2.626391542015775,-3.6501543886858103,320.63461538461536,401.3644688644688,2.5923963987145138,2.6605118287317353,-0.11673075293064884
2533,2.653065898379655,3.346934101620345,53.0613179675931,66.9386820324069,-7.91015625,-7.878540523938492,-5.284803261623793,-3.6501543886858103,322.27472527472526,400.6355311355311,2.5921716528358356,2.6605118287317353,-0.08172807139288747
2566,2.647403126307952,3.352596873692048,52.948062526159035,67.05193747384097,-7.998046875,-8.000109240705413,-2.63895481584437,-3.6501543886858103,320.2701465201465,403.7335164835165,2.5917494992365087,2.6611394572571347,-0.11325544143406054
2600,2.641550777821266,3.358449222178734,52.83101555642532,67.16898444357467,-8.0859375,-8.120007347039056,-2.6364436109593057,-3.5182892916232436,323.36813186813185,404.8269230769231,2.5917494992365087,2.6601736716983257,-0.11704696973371134
2633,2.6375669289662858,3.3624330710337142,52.75133857932571,67.24866142067428,-8.26171875,-8.234628301953462,-5.271153929751964,-3.355989926768897,319.54120879120876,403.91575091575095,2.591254373820593,2.65989283340006,-0.0796769770996081
2666,2.6321897632887805,3.3678102367112195,52.64379526577561,67.35620473422439,-8.349609375,-8.343795888577871,-2.6365930904053765,-3.1937531110157495,317.9010989010989,404.46245421245425,2.5910919173236713,2.65989283340006,-0.10754331355010432
2700,2.628785757606975,3.3712142423930254,52.5757151521395,67.4242848478605,-8.525390625,-8.44752040629609,-5.275008819494344,-3.031572351869598,318.4478021978022,405.73809523809524,2.5907677594097027,2.6605488808460773,-0.06808011363610984
2733,2.624093216920754,3.375906783079246,52.48186433841508,67.51813566158492,-8.61328125,-8.545876694573957,-2.63650664276832,-2.8693302165814503,316.62545787545787,406.10256410256414,2.5907677594097027,2.659575007026431,-0.0938508137244231
