ms,ca,cb,caper,cbper,q,qdes,dq,dqdes,pa,pb,Ta,Tb,pid_u
0,2.9999999925685628,3.0000000074314372,59.99999985137125,60.00000014862875,0.0,-2.105281230729109e-11,0.0,-1.4862559330172779e-05,359.8150183150184,360.5439560439561,2.632325894991988,2.636091584070391,-1.4862875123848456e-07
33,2.999889434767206,3.000110565232794,59.99778869534412,60.00221130465588,0.0,-0.002916607680800174,0.0,-0.17493533845010245,360.36172161172163,360.90842490842493,2.6331990807938026,2.636091584070391,-0.0022111560271287018
66,2.999620579620619,3.000379420379381,59.99241159241237,60.00758840758763,0.0,-0.011688119482414534,0.0,-0.35019574364670547,360.72619047619054,359.8150183150184,2.6323786312828883,2.636624810796842,-0.005377102931753216
100,2.9991442076520074,3.0008557923479926,59.98288415304015,60.01711584695985,0.0,-0.0262554365129917,0.0,-0.5248656649755503,358.9038461538462,360.17948717948724,2.632334175792284,2.635835657760282,-0.009527439372211404
133,2.9984075314618677,3.0015924685381323,59.96815062923736,60.03184937076264,0.0,-0.04669332687630096,0.0,-0.6999482807695427,359.63278388278394,360.72619047619054,2.6327277767852486,2.635872050013508,-0.014733523802796222
166,2.9973561530432358,3.0026438469567642,59.94712306086472,60.05287693913528,0.0,-0.07294178987215821,0.0,-0.8748362090774546,360.72619047619054,359.08608058608064,2.6327277767852486,2.635872050013508,-0.021027568372638306
200,2.995932915259405,3.004067084740595,59.9186583051881,60.0813416948119,0.0,-0.10502584739238092,0.0,-1.0497518269608017,359.9972527472528,360.36172161172163,2.632317614230765,2.636449768786999,-0.02846475567661882
233,2.9940777828350127,3.0059222171649873,59.88155565670026,60.11844434329974,0.0,-0.14298469258235985,0.0,-1.2248511519856276,360.5439560439561,360.36172161172163,2.6322484641363286,2.6361032312055364,-0.03710264848784671
266,2.9917310192826956,3.0082689807173044,59.83462038565391,60.16537961434609,0.0,-0.18658089930802976,0.0,-1.399175310246691,360.72619047619054,361.8195970695971,2.632159560875804,2.6366906380927526,-0.04693527104634709
300,2.98882548999044,3.01117451000956,59.7765097998088,60.2234902001912,0.0,-0.23624688161118926,0.0,-1.5744235756637457,359.8150183150184,360.5439560439561,2.632159560875804,2.6366906380927526,-0.05811058584511217
333,2.9852946828157005,3.0147053171842995,59.70589365631402,60.29410634368598,0.0,-0.29171684282733895,0.0,-1.7495215419038737,359.63278388278394,361.0906593406594,2.632021275867148,2.637268626023658,-0.07061614349478093
366,2.9830907780700717,3.0169092219299283,59.661815561401426,60.338184438598574,-0.087890625,-0.35274384258998465,-2.6451716074094516,-1.923836954694226,359.8150183150184,362.184065934066,2.6322287074669672,2.6377576169943624,-0.044078094912590994
400,2.978834081803914,3.021165918196086,59.57668163607827,60.42331836392173,-0.087890625,-0.4199352907369142,0.0,-2.099083567540971,358.9038461538462,361.6373626373627,2.632589446996472,2.637696558546718,-0.0851339253231531
433,2.97578852545664,3.02421147454336,59.5157705091328,60.4842294908672,-0.17578125,-0.4928275628107703,-2.636431826995867,-2.2739768365136417,359.63278388278394,364.18864468864473,2.632589446996472,2.637696558546718,-0.06091112694546985
466,2.970584646944228,3.029415353055772,59.411692938884556,60.588307061115444,-0.17578125,-0.571306566740901,0.0,-2.448348016695423,359.9972527472528,364.0064102564103,2.6337526576159696,2.639661838718707,-0.10407757024824556
500,2.9664715021552,3.0335284978448,59.329430043104004,60.670569956895996,-0.263671875,-0.6559109454976066,-2.6343626289092503,-2.623378658106326,359.9972527472528,363.64194139194143,2.6342885198915513,2.639906504165227,-0.08226289578055175
533,2.960076133317374,3.039923866682626,59.20152266634747,60.79847733365253,-0.263671875,-0.7461641557215017,0.0,-2.7980516904555106,359.63278388278394,364.3708791208792,2.6352483910263134,2.641866075385332,-0.12790737675652875
566,2.954635803314377,3.045364196685623,59.09271606628754,60.90728393371246,-0.3515625,-0.8427285102706317,-2.626610920796063,-2.973598885891351,360.5439560439561,365.82875457875457,2.6352483910263134,2.6420615243407592,-0.10880660005993678
600,2.946783314895804,3.053216685104196,58.93566629791607,61.06433370208393,-0.3515625,-0.9446720855109559,0.0,-3.148321558046231,358.9038461538462,364.735347985348,2.6373118953658103,2.6420615243407592,-0.1570497683714666
633,2.939867206015169,3.060132793984831,58.79734412030337,61.20265587969663,-0.439453125,-1.0496037732252361,-2.6445378284106287,-3.157528851584427,359.63278388278394,366.0109890109891,2.6373215109197905,2.644764535494523,-0.1383221776126987
666,2.9345576567969833,3.0654423432030167,58.69115313593967,61.30884686406033,-0.615234375,-1.1551980804193513,-5.256290639061138,-3.157528851584427,359.9972527472528,369.10897435897436,2.639967785274372,2.6470566190856073,-0.10619098436370286
700,2.927580324548412,3.072419675451588,58.55160649096824,61.44839350903176,-0.703125,-1.2602539152702303,-2.6416160950527705,-3.157528851584427,357.44597069597074,368.1978021978022,2.639967785274372,2.648515463224651,-0.1395466449714327
733,2.9242531207048286,3.0757468792951714,58.485062414096575,61.514937585903425,-0.966796875,-1.365636083890497,-7.900307647528795,-3.157528851584427,353.61904761904754,368.38003663003667,2.6412452525283814,2.648515463224651,-0.06654407687166584
766,2.92603769943378,3.07396230056622,58.5207539886756,61.4792460113244,-1.40625,-1.4710205890861214,-13.16688747108196,-3.157528851584427,353.07234432234424,370.20238095238096,2.637855110891739,2.64590493449967,0.03569157457902751
800,2.9244105702927294,3.0755894297072706,58.488211405854585,61.511788594145415,-1.58203125,-1.5761611499215746,-5.278974774646809,-3.157528851584427,351.79670329670324,369.65567765567766,2.6359494952368303,2.6450135689474803,-0.032542582821019024
833,2.919313777057308,3.080686222942692,58.38627554114617,61.61372445885383,-1.58203125,-1.6813381991478853,0.0,-3.157528851584427,350.70329670329664,370.74908424908426,2.6359494952368303,2.6417917286745056,-0.10193586470841573
866,2.9153574512591933,3.0846425487408067,58.30714902518387,61.69285097481613,-1.669921875,-1.7865450680772084,-2.6378238136496686,-3.157528851584427,351.24999999999994,370.38461538461536,2.63541996613923,2.6417917286745056,-0.07912651596229796
900,2.9112145820335336,3.0887854179664664,58.22429164067067,61.77570835932933,-1.7578125,-1.8917942131684111,-2.636764260467932,-3.157528851584427,349.6098901098901,371.1135531135531,2.634085789125485,2.643046987443197,-0.08285738451319798
933,2.906876764435608,3.093123235564392,58.13753528871216,61.86246471128784,-1.845703125,-1.9971242857268947,-2.6347383750941464,-3.157528851584427,350.3388278388278,371.29578754578756,2.6336902842752874,2.641551474418571,-0.08675635195851647
966,2.902337014502215,3.097662985497785,58.046740290044305,61.953259709955695,-1.93359375,-2.1024887374520387,-2.6338786913182584,-3.157528851584427,349.2454212454212,372.2069597069597,2.6336902842752874,2.644051721728436,-0.09079499866785493
1000,2.8975979626043613,3.1024020373956387,57.95195925208722,62.04804074791278,-2.021484375,-2.2074057010290837,-2.6451126182039535,-3.157528851584427,347.9697802197802,371.478021978022,2.634077500058479,2.644051721728436,-0.09478103795708571
1033,2.8926405798346284,3.1073594201653716,57.85281159669257,62.14718840330743,-2.109375,-2.312620463783208,-2.6376259087312275,-3.157528851584427,347.6053113553113,372.38919413919416,2.6330046144063632,2.6444859874570237,-0.09914765539465506
1066,2.889446023055294,3.110553976944706,57.78892046110588,62.21107953889412,-2.28515625,-2.4187352327826668,-5.2305100757973255,-3.157528851584427,347.058608058608,370.38461538461536,2.6326833124498585,2.6417435291440086,-0.06389113558668591
1100,2.884771754763454,3.115228245236546,57.695435095269076,62.304564904730924,-2.373046875,-2.523498999378212,-2.6489805897556185,-3.157528851584427,347.6053113553113,373.66483516483515,2.6326833124498585,2.641771718406249,-0.0934853658368062
1133,2.8798955049525574,3.1201044950474426,57.59791009905115,62.40208990094885,-2.4609375,-2.6285477013736185,-2.6417954620079294,-3.157528851584427,347.24084249084245,373.48260073260076,2.633472503831959,2.641771718406249,-0.09752499621792945
1166,2.8748093801771235,3.1251906198228765,57.49618760354247,62.50381239645753,-2.548828125,-2.733801639586005,-2.6366441858099368,-3.157528851584427,345.96520146520146,374.3937728937729,2.632752479680544,2.642066345104755,-0.10172249550867951
1200,2.871520042391199,3.128479957608801,57.430400847823975,62.569599152176025,-2.724609375,-2.8391394891347788,-5.269087709879471,-3.157528851584427,344.50732600732596,375.48717948717945,2.63322379032278,2.6416526839182177,-0.06578675571849202
1233,2.866827312217237,3.133172687782763,57.336546244344746,62.663453755655254,-2.8125,-2.9419935376101134,-2.638916465967473,-3.0018696198662584,345.2362637362637,375.48717948717945,2.633723142682086,2.6415844800520456,-0.09385460347922829
1266,2.8620902735401557,3.1379097264598443,57.241805470803115,62.758194529196885,-2.900390625,-3.0392991662105002,-2.6323083438682318,-2.826702382440984,344.8717948717948,376.94505494505495,2.633723142682086,2.6415844800520456,-0.09474077354163399
1300,2.859372472513669,3.140627527486331,57.187449450273384,62.812550549726616,-3.076171875,-3.1305978880424856,-5.274041324654223,-2.6518481663803506,343.4139194139194,376.2161172161172,2.6331182685279177,2.6419968105136054,-0.05435602052972997
1333,2.85542406490747,3.14457593509253,57.1084812981494,62.8915187018506,-3.1640625,-3.2158960003901393,-2.6425514689890295,-2.4773599166497595,343.77838827838826,376.7628205128205,2.6329915344809227,2.6412864294833205,-0.07896815212398167
1366,2.8516039303744214,3.1483960696255786,57.03207860748842,62.96792139251158,-3.251953125,-3.2955508806004064,-2.637035299717862,-2.302506671152351,344.6895604395604,377.12728937728934,2.6329634856360844,2.643766413703864,-0.07640269066097444
1400,2.8479659966166198,3.1520340033833802,56.95931993233239,63.04068006766761,-3.33984375,-3.369315093425275,-2.6393772891053464,-2.127808577571652,342.68498168498166,377.12728937728934,2.6329634856360844,2.643766413703864,-0.07275867515602788
1433,2.8445564808522747,3.1554435191477253,56.8911296170455,63.1088703829545,-3.427734375,-3.437430970937959,-2.6325331275416186,-1.9526562971224828,341.77380952380946,378.94963369963375,2.6324675456426507,2.6416691876060825,-0.06819031528689237
1466,2.8414386417677973,3.1585613582322027,56.82877283535595,63.17122716464405,-3.515625,-3.4995141696802072,-2.640763581195745,-1.7780499128439955,342.13827838827837,378.94963369963375,2.6326305670029004,2.6436188788750083,-0.06235678168955397
1500,2.8386553062724458,3.1613446937275542,56.77310612544892,63.22689387455108,-3.603515625,-3.5561071557043,-2.62496494454348,-1.6023926410753282,340.315934065934,379.3141025641026,2.6325779684387656,2.643569313453383,-0.05566670990702637
1533,2.8362823869965603,3.1637176130034397,56.72564773993121,63.27435226006879,-3.69140625,-3.6065655144726283,-2.638945782731193,-1.4276659817918298,340.6804029304029,380.2252747252748,2.6325779684387656,2.643569313453383,-0.04745838551771024
1566,2.8343738996018546,3.1656261003981454,56.68747799203709,63.31252200796291,-3.779296875,-3.6512224077062423,-2.6378179552294965,-1.2528646162416501,341.59157509157507,380.2252747252748,2.632922212503246,2.641543150086571,-0.038169747894124334
1600,2.8309796117173103,3.1690203882826897,56.6195922343462,63.3804077656538,-3.779296875,-3.6901036235005273,0.0,-1.0778266878100666,339.040293040293,380.4075091575092,2.6321958770230407,2.6415844800520456,-0.06788575769088848
1633,2.8294662429850654,3.1705337570149346,56.589324859701314,63.410675140298686,-3.8671875,-3.7230417794131916,-2.6432888294623624,-0.9033871125705027,340.4981684981685,380.77197802197804,2.6322239136027883,2.643390070791796,-0.030267374644889232
