ms,ca,cb,caper,cbper,q,qdes,dq,dqdes,pa,pb,Ta,Tb,pid_u
0,2.999999992284496,3.000000007715504,59.99999984568992,60.00000015431008,-0.0,-3.314473729541835e-11,0.0,-1.5430510691386738e-05,361.6373626373627,362.184065934066,2.239814568885154,,-1.5431007866005913e-07
33,2.999924108440965,3.000075891559035,59.9984821688193,60.0015178311807,-0.0,-0.002005098615422151,0.0,-0.12001647798529343,363.459706959707,362.91300366300374,2.239814568885154,,-0.001517676870620036
66,2.9997402230417958,3.0002597769582042,59.99480446083592,60.00519553916408,-0.0,-0.00799060935288633,0.0,-0.23958683965204702,362.184065934066,360.17948717948724,2.2406734338705374,,-0.003677707983375693
100,2.999413784516187,3.000586215483813,59.98827569032373,60.01172430967627,-0.0,-0.01799727368399326,0.0,-0.35956413793267356,362.36630036630044,360.36172161172163,2.240259109575792,,-0.006528770512191628
133,2.9989099341388616,3.0010900658611384,59.97819868277723,60.02180131722277,-0.0,-0.03192753818215908,0.0,-0.4789120071534411,361.6373626373627,361.0906593406594,2.240262531387255,,-0.010077007546500268
166,2.99818973037694,3.00181026962306,59.963794607538794,60.036205392461206,-0.0,-0.049971144166977545,0.0,-0.5991459885288465,360.5439560439561,361.8195970695971,2.240262531387255,,-0.014404075238441373
200,2.9972149604398854,3.0027850395601146,59.944299208797716,60.055700791202284,-0.0,-0.07193604938400074,0.0,-0.7188632812692389,359.63278388278394,362.91300366300374,2.240360626649624,,-0.019495398741076503
233,2.9959448544129055,3.0040551455870945,59.918897088258106,60.081102911741894,-0.0,-0.097893744848382,0.0,-0.838591547058139,360.90842490842493,361.6373626373627,2.2399988467612713,,-0.025402120539608844
266,2.994337173649295,3.005662826350705,59.886743472985906,60.113256527014094,-0.0,-0.12782737033934327,0.0,-0.9582634785525567,360.36172161172163,361.0906593406594,2.2398344095937253,,-0.03215361527220321
300,2.9923478218406734,3.0076521781593266,59.84695643681347,60.15304356318653,-0.0,-0.161753889265263,0.0,-1.0779543641435896,361.0906593406594,362.36630036630044,2.2398344095937253,,-0.0397870361724362
333,2.989931316353406,3.010068683646594,59.79862632706812,60.20137367293188,-0.0,-0.19964940439008175,0.0,-1.1975868501389455,360.72619047619054,362.54853479853483,2.2403675848141056,,-0.04833010974534707
366,2.9870396129010386,3.0129603870989614,59.74079225802077,60.25920774197923,-0.0,-0.24159204353334884,0.0,-1.317389879910474,361.4551282051283,362.7307692307692,2.2402520378569446,,-0.05783406904735096
400,2.9836243342604303,3.0163756657395697,59.67248668520861,60.32751331479139,-0.0,-0.2874667314730686,0.0,-1.4370332096464837,360.5439560439561,361.8195970695971,2.240148247126196,,-0.06830557281215548
433,2.979633842163184,3.020366157836816,59.592676843263675,60.407323156736325,-0.0,-0.33741061026522357,0.0,-1.5568700960266892,360.72619047619054,363.459706959707,2.240148247126196,,-0.07980984194493598
466,2.9750183919545723,3.0249816080454277,59.500367839091446,60.499632160908554,-0.0,-0.39112267819983604,0.0,-1.6762141722737107,362.184065934066,363.8241758241759,2.2407013866463923,,-0.0923090041722307
500,2.969719722062994,3.030280277937006,59.39439444125988,60.60560555874012,-0.0,-0.44917930882269513,0.0,-1.7963165884322418,359.8150183150184,363.8241758241759,2.2404819999377827,,-0.10597339783157098
533,2.963683949290941,3.036316050709059,59.27367898581882,60.72632101418118,-0.0,-0.5110729594595345,0.0,-1.916083631639972,359.9972527472528,363.8241758241759,2.241021226449552,,-0.12071545544105641
566,2.95685271496528,3.04314728503472,59.137054299305596,60.862945700694404,-0.0,-0.5770367305161476,0.0,-2.0359857708340883,358.9038461538462,364.5531135531136,2.241021226449552,,-0.136624686513226
600,2.951187544470238,3.048812455529762,59.02375088940475,60.97624911059525,-0.087890625,-0.6467249020697362,-2.643100357205857,-2.155424430795793,358.17490842490844,367.1043956043956,2.2404574735252014,,-0.11330340990084081
633,2.9433250989249418,3.0566749010750582,58.86650197849883,61.13349802150117,-0.087890625,-0.7204384215500098,0.0,-2.2749478328502404,359.9972527472528,367.83333333333337,2.240211205038472,,-0.15724891090591983
666,2.9365305291526806,3.0634694708473194,58.73061058305361,61.26938941694639,-0.17578125,-0.798502524809112,-2.628912326290543,-2.3950310937684214,360.36172161172163,368.01556776556777,2.2401692328020606,,-0.13589139544522072
700,2.92745474365316,3.07254525634684,58.549094873063204,61.450905126936796,-0.17578125,-0.8803001296802181,0.0,-2.514712798637425,359.08608058608064,370.74908424908426,2.2401692328020606,,-0.1815157099904101
733,2.919364921422499,3.080635078577501,58.38729842844998,61.61270157155002,-0.263671875,-0.9659481225999758,-2.6418703443510636,-2.6342070673414075,356.35256410256414,368.1978021978022,2.24038161530992,,-0.16179644461322099
766,2.9129858692973203,3.0870141307026797,58.25971738594641,61.74028261405359,-0.439453125,-1.0539875953189517,-5.26160178983997,-2.635260932010273,356.17032967032975,370.20238095238096,2.2403396382842713,,-0.12758104250357388
800,2.911085621064629,3.088914378935371,58.22171242129258,61.77828757870742,-0.791015625,-1.1417659391565462,-10.554527243348018,-2.635260932010273,351.79670329670324,371.1135531135531,2.2400992056639177,,-0.038004964653829076
833,2.911127918326956,3.088872081673044,58.22255836653911,61.77744163346089,-1.142578125,-1.2295388200984791,-10.555184146487942,-2.635260932010273,351.6144688644688,372.93589743589746,2.2404166350899475,,0.0008459452465311712
866,2.909187506870069,3.090812493129931,58.18375013740138,61.81624986259862,-1.318359375,-1.3174279924697878,-5.270608974993052,-2.635260932010273,352.34340659340654,371.1135531135531,2.2404166350899475,,-0.03880822913773105
900,2.9039175595204547,3.0960824404795453,58.07835119040909,61.92164880959091,-1.318359375,-1.4051743758628508,0.0,-2.635260932010273,349.6098901098901,373.8470695970696,2.240196035588648,,-0.10539894699229611
933,2.8979157500400046,3.1020842499599954,57.958315000800084,62.041684999199916,-1.318359375,-1.4930476391643848,0.0,-2.635260932010273,349.2454212454212,373.11813186813185,2.240078220972054,,-0.12003618960900506
